purchasing,purchased,total
C18,S94,11.37
C18,S95,4.13
C18,S96,5.09
C18,T,0
C18,HH,3279
C19,A01,0
C19,A02,0
C19,A03,0
C19,B,378.68
C19,C10-12,68.43
C19,C13-15,10.89
C19,C16,1.7
C19,C17,25.41
C19,C18,9.37
C19,C19,1589.21
C19,C20,568.79
C19,C21,0.73
C19,C22,722.74
C19,C23,28.81
C19,C24,86.87
C19,C25,587.61
C19,C26,42.36
C19,C27,69.79
C19,C28,84.49
C19,C29,24.96
C19,C30,0.13
C19,C31_32,10.71
C19,C33,104.52
C19,D,989.12
C19,E36,114.12
C19,E37-39,584.14
C19,F,429.61
C19,G45,32.72
C19,G46,1309.77
C19,G47,89.3
C19,H49,284.58
C19,H50,2.32
C19,H51,30.71
C19,H52,920.37
C19,H53,14.27
C19,I,153.84
C19,J58,15
C19,J59_60,42.84
C19,J61,122.1
C19,J62_63,262.58
C19,K64,265.18
C19,K65,106.76
C19,K66,112.01
C19,L68B,201.93
C19,L68A,0
C19,M69_70,1000.98
C19,M71,167.61
C19,M72,0
C19,M73,128
C19,M74_75,34.74
C19,N77,342.23
C19,N78,23
C19,N79,62.4
C19,N80-82,462.91
C19,O,0
C19,P,137.54
C19,Q86,20.67
C19,Q87_88,0
C19,R90-92,1.21
C19,R93,22.74
C19,S94,165.23
C19,S95,10.67
C19,S96,41.37
C19,T,0
C19,HH,801
C20,A01,32.29
C20,A02,9.76
C20,A03,3.88
C20,B,835.09
C20,C10-12,1480.98
C20,C13-15,92.73
C20,C16,42.22
C20,C17,334.97
C20,C18,81.46
C20,C19,3328.36
C20,C20,5571.53
C20,C21,55.29
C20,C22,844.2
C20,C23,274.46
C20,C24,107.4
C20,C25,682.99
C20,C26,28.51
C20,C27,68.44
C20,C28,90.04
C20,C29,15.19
C20,C30,0.55
C20,C31_32,23.96
C20,C33,190.55
C20,D,2754.56
C20,E36,125.64
C20,E37-39,499.55
C20,F,95.58
C20,G45,41.76
C20,G46,2863.53
C20,G47,252.27
C20,H49,784.11
C20,H50,9.29
C20,H51,52.37
C20,H52,700.99
C20,H53,133.22
C20,I,213.24
C20,J58,17.02
C20,J59_60,89.78
C20,J61,148.85
C20,J62_63,228.05
C20,K64,473.39
C20,K65,182.36
C20,K66,151.03
C20,L68B,364.61
C20,L68A,0
C20,M69_70,915.85
C20,M71,214.62
C20,M72,0
C20,M73,962.71
C20,M74_75,35.56
C20,N77,250.66
C20,N78,638.46
C20,N79,55.94
C20,N80-82,506.07
C20,O,0
C20,P,225.52
C20,Q86,12.7
C20,Q87_88,0
C20,R90-92,0.06
C20,R93,28.11
C20,S94,125.58
C20,S95,12.35
C20,S96,39.62
C20,T,0
C20,HH,8149.76
C21,A01,0
C21,A02,0
C21,A03,0
C21,B,20.22
C21,C10-12,253.2
C21,C13-15,44.48
C21,C16,36.18
C21,C17,229.34
C21,C18,38.31
C21,C19,31.8
C21,C20,847.85
C21,C21,506.67
C21,C22,172.97
C21,C23,103.54
C21,C24,41.84
C21,C25,76.89
C21,C26,2.2
C21,C27,4.94
C21,C28,9.71
C21,C29,0.53
C21,C30,0
C21,C31_32,20.02
C21,C33,15.33
