purchasing,purchased,total
R90-R92,C19,510.41
R93,C19,434.95
S94,C19,513.99
S95,C19,163.48
S96,C19,641.08
T,C19,14.42
U,C19,0
P3,C19,126560.56
P51,C19,373.51
A01,C20,15067.19
A02,C20,230.51
A03,C20,271.05
B,C20,1738.99
C10-C12,C20,8354.84
C13-C15,C20,7566.28
C16,C20,3413.70
C17,C20,8247.17
C18,C20,2792.21
C19,C20,14192.34
C20,C20,118531.61
C21,C20,10928.96
C22,C20,43483.79
C23,C20,6073.34
C24,C20,6807.34
C25,C20,6903.24
C26,C20,2805.48
C27,C20,5044.69
C28,C20,4217.23
C29,C20,8605.37
C30,C20,1560.69
C31_C32,C20,3861.23
C33,C20,2049.98
D35,C20,6944.88
E36,C20,1239.38
E37-E39,C20,3089.10
F,C20,11482.94
G45,C20,2881.60
G46,C20,9657.77
G47,C20,2372.70
H49,C20,1362.60
H50,C20,133.06
H51,C20,280.8
H52,C20,703.69
H53,C20,46.35
I,C20,2508.68
J58,C20,1052.87
J59_J60,C20,873.03
J61,C20,207.56
J62_J63,C20,1155.04
K64,C20,156.94
K65,C20,59.36
K66,C20,43.13
L68B,C20,1737.45
L68A,C20,280.9
M69_M70,C20,854.72
M71,C20,1144.33
M72,C20,2603.51
M73,C20,463.37
M74_M75,C20,973.46
N77,C20,1571.55
N78,C20,237.11
N79,C20,114.94
N80-N82,C20,3177.07
O84,C20,1812.72
P85,C20,1123.72
Q86,C20,6493.26
Q87_Q88,C20,869.43
R90-R92,C20,505.42
R93,C20,416
S94,C20,316.13
S95,C20,143.63
S96,C20,1606.47
T,C20,1097.62
U,C20,0
P3,C20,58485.92
P51,C20,252.72
A01,C21,1534.33
A02,C21,1.3
A03,C21,35.69
B,C21,4.91
C10-C12,C21,1079.57
C13-C15,C21,35.54
C16,C21,8.69
C17,C21,36.11
C18,C21,7.96
C19,C21,41.77
C20,C21,2943.15
C21,C21,18223.92
C22,C21,197
C23,C21,9.31
C24,C21,12.51
C25,C21,13.46
C26,C21,53.25
C27,C21,10.38
C28,C21,23.35
C29,C21,32.57
C30,C21,11.49
C31_C32,C21,216.67
C33,C21,36.61
D35,C21,20.94
E36,C21,9.46
E37-E39,C21,45.86
F,C21,64.94
G45,C21,43.74
G46,C21,1243.93
G47,C21,386.61
H49,C21,32.54
H50,C21,2.26
H51,C21,2.64
H52,C21,28.79
H53,C21,3.28
I,C21,133.6
J58,C21,23.02
J59_J60,C21,15.51
J61,C21,13.17
J62_J63,C21,94.84
K64,C21,8.09
K65,C21,4.31
K66,C21,1.33
L68B,C21,282.57
L68A,C21,13.93
M69_M70,C21,61.82
M71,C21,91.17
M72,C21,696.35
M73,C21,38.18
M74_M75,C21,752.47
N77,C21,242.46
N78,C21,33.94
N79,C21,2.16
N80-N82,C21,210.58
O84,C21,573.64
P85,C21,241.45
Q86,C21,40746.76
Q87_Q88,C21,2466.21
R90-R92,C21,29.63
R93,C21,26.05
S94,C21,53.9
S95,C21,3.65
S96,C21,134.08
T,C21,6.32
U,C21,0
P3,C21,88536.51
P51,C21,20.24
A01,C22,1463.84
A02,C22,68.21
A03,C22,95.56
B,C22,517.1
C10-C12,C22,12483.38
C13-C15,C22,3348.14
C16,C22,1044.21
C17,C22,2543.92
C18,C22,877.4
C19,C22,1087.98
C20,C22,7808.91
C21,C22,1606.71
C22,C22,25306.74
C23,C22,1921.82
C24,C22,1430.69
C25,C22,4957.62
C26,C22,4002.99
C27,C22,6541.55
C28,C22,9615.88
C29,C22,24662.52
C30,C22,2809.99
C31_C32,C22,4358.20
C33,C22,3654.76
D35,C22,1582.26
E36,C22,154.93
E37-E39,C22,1222.96
F,C22,31351.83
G45,C22,5258.35
G46,C22,6430.81
G47,C22,4056.04
H49,C22,4278.03
H50,C22,130.63
H51,C22,131.72
H52,C22,1307.86
H53,C22,166.56
I,C22,1196.29
J58,C22,409.02
J59_J60,C22,299.88
J61,C22,1680.56
J62_J63,C22,813.38
K64,C22,318.38
K65,C22,149.72
K66,C22,139.21
L68B,C22,1723.66
L68A,C22,432.06
M69_M70,C22,899.38
M71,C22,1157.99
M72,C22,913.36
M73,C22,482.56
M74_M75,C22,529.7
N77,C22,1069.08
N78,C22,135.41
N79,C22,126.32
N80-N82,C22,1588.30
O84,C22,1121.55
P85,C22,425.21
Q86,C22,1643.76
Q87_Q88,C22,386.58
R90-R92,C22,225.84
R93,C22,151.24
S94,C22,194.29
S95,C22,309.25
S96,C22,314.66
T,C22,31.17
